	pid	text	explanation	target_of_sarcasm
2599	1007005521352474798_1949336167	#sarcastic  #sarcasm #sarcasme #true	nobody likes deadlines or them passing by if they aren't met.	liking deadlines
2600	921057074615848961	'<user> so great having a bike lane bringing hordes of customers our way !  # tryingtostayinbusiness'	it's not great having a bike lane blocking hordes of customers our way.	bike lane
2601	944611826599329792	because advertisers don 't want their ads shown on a video of a cute kid helping deliver presents for santa  <user>	advertisers should want their ads shown on a video of a cute kid helping deliver presents for santa.	advertisers
2602	698447016309952512	'haha ! !  thankfully times are continually changing xxx'	nobody would want to be judged, not accepted by most of society, denied basic human rights, not be allowed to get married and to be called rude names when they are with the person they love.	being a gay
2603	705519513488330753	'i just love being ignored ! '	nobody loves being ignored.	being ignored
2604	922827528284368898	blowing out irrigation lines today . couldn 't have picked a nicer day !  # alwaysrains # edgingheads	it's raining, they could have picked a nicer day for blowing out irrigation lines.	rain
2605	918581941695336449	'today the # hamilton soundtrack is a welcome distraction to the joyous traffic of the expressway . '	today the hamilton soundtrack is a welcome distraction to the miserable traffic of the expressway.	traffic
2606	924402493555081222	'wow ! thanks so much , <user> for having a whole two options for plus size sports bras : 0x and 1x . so size inclusive .  # smh'	the author's disappointed with <user> for having just two options for plus size sports bras, not so size inclusive.	limited options for plus size sports bras
2607	841913929194446851	'gee , this zora armour sure feels useful with no noticable swim boost at all !  # breathofthewild # nintendoswitch'	the zora armour didn't feel useful since it didn't have any noticable swim boost.	zora armour with no swim boost
2608	728697454175080449	'thanks for the advanced notice <user>  # constructionseason # tornupsidewalks # blockeddriveway'	the author is pissed at <user> for not sending an advanced notice for construction.	<user> for no advanced notice
2609	912312547700862976	'love how itunes reports the breakdown of space used in ios 11 , really useful that . '	the author hates how itunes reports the breakdown of space used in ios 11 since it's of little use.	itunes report of breakdown of space in ios 11
2610	885240294051950592	<user> thursdays blistering speed on record for us to discuss . you 'll excuse my  i 'm sure . # nbn # internet # adsl # fail # cantwork	the author is pissed at <user> for such terrible speed.	slow internet speed
2611	714055642294554624	'this week will be fun i hope '	the author doesn't think this week will be fun.	huge work this week
2612	524001294040750910_301347357	What a huge fish I caught today! Lol	the author has caught a little fish.	size of the fish
2613	872876038203858945	it 's a really good thing driving lanes are diminishing , and we no longer have a need for cars . thank you , mass transit .  # seattle	it's a really bad thing driving lanes are diminishing since we have a need for cars.	diminishing driving lanes in seattle
2614	860129416046948353	it 's so fun watching your bus become later and later .... # unreliable61 # ttchelps # ttc # torontotransit 	it's not fun watching your bus become later and later.	delay in bus
2615	892787544835928067	'some good stuff right here  # bluescreen # breaktime'	bluescreen isn't a good stuff, it's inconvenient.	bluescreen
2616	939728260946067456	just had my account locked for having a discussion with someone who thinks everyone who isn 't him is a right winger ... gee , thanks <user> ... nice to know i 'm the one who was in the wrong ... 	the author wasn't in the wrong, everyone's entitled to their opinions.	<user> for having author's account locked
2617	883376831700885505	can 't stress enough how much i love # tinder  emoji_156	the author hates tinder because of such distasteful messages.	messages in tender
2618	873258598566158337	hey , <user> ! i didn 't know you were a scammer ! ! ! you should feel ashamed of yourself ! 	the author knows that <user> isn't a scammer.	<user> not being a scammer
2619	854756728839208962	'. i see you # stunting # sittingsideways # dropit # lowrider # wacky # wednesday # ibetterputsarcasmbecausepeopledontgetmyhumor  # iq'	the car isn't stunting.	car being damaged
2620	906225239171969024	'woohoo ! thanks , <user> ! '	the author's personal information being impacted by the incident isn't exciting.	author's personal information being impacted
2621	735986831234236416	i wish i had better seats for <user> tonight , i can 't even see him ! # invisibleman  # cannotwait	the author has good seats for <user> tonight, pretty close to the stage.	<user>'s good seats
2622	694554793918992384	'here comes another masterpiece  . undoubtedly , it will be another big bashing flop . :d'	this movie isn't a masterpiece, it will be a flop.	quality of the movie
2623	727705560817115136	we dont have enough water to drink but ipl is more precious than people 's lives ; it should 'nt be stopped 	we don't have enough water to drink and ipl isn't more precious than people's lives so water shouldn't be wasted in ipl, this should be stopped.	water used in ipl
2624	942863777388814337	'<user> so happy to see enforcement of lee county ordinance 94-09 , sec . 4.06  picture take as pa announced ΓÇ£ all animals must be kept in airline approved kennels or containers while in the terminal building ΓÇ¥'	the author's sad to see disregard of lee county ordinance 94-09, sec 4.06, according to which animals must be kept in airline approved kennels or containers while in the terminal building, instead there's an animal here.	presence of animal in the area
2625	903019349522366464	'mid-monumental # harvey disaster the # texas # republicans who voted for # trump and # congress are being served so well by their party ! '	the texas republicans who voted for trump and congress aren't being served well by their party since house gop eyes $1B disaster funds cut.	trump and congress for their leadership
2626	934174614011482112	'no way ? ! who would have thought that overeating would cause indigestion lol c ΓÇÖ mon we can do better reporting than this lol ... # internet  # indigestion # overeating # evidencebased # research emoji_5609'	it's obvious that overeating would cause indigestion, it doesn't need to be reported.	obvious reporting
2627	703578971561201664	'there is nothing more superb to do on a saturday be stuck in traffic ! # happydays '	it's frustrating to be stuck in traffic on a saturday.	traffic
2628	927451137313255427	'thanks mother nature for such lovely day on my birthday .. # raining # cold # mybirthday '	the author is sad because of such unpleasant rainy day on his birthday.	rain on author's birthday
2629	819778730368890834_847285956	Oh yea there dating Ariana and big Sean are so dating look at that this is not a pr stunt at all	Ariana and Big Sean aren't dating for real, it's just a PR stunt	pr stunt of ariana and big sean
2630	815985320088899584	'stop bashing jed york ; he has worked hard to be in the position he is in . '	clearly jed york hasn't worked hard to be in the position he is in, he has been handed everything.	jed york's easy life
2631	832412305275097088	'omg i know exactly who this is !  how is this helpful at all'	there is almost no helpful information of the suspect.	unhelpful information
2632	923298338153172992	<user> this cereal is racist because my name doesn 't start with k ! 	this cereal isn't racist even though the author's name doesn't start with k.	<user>'s cereal
2633	845846589470060544	the # muslim leader of # turkey but don 't worry , # refugees are different <user> <user> <user> <user> 	the muslim leader of turkey with such views is a matter of worry for refugees.	views of muslim leader of turkey
2634	937048160786055169	'# kingstreetpilot has absolutely destroyed downtown street life . # hyperbole '	kingstreetpilot hasn't destroyed downtown street life.	kingstreetpilot
2635	824593369867419648	'<user> <user> look at how much hate is in this picture . disgusting right ! ? ? they should both be registered , right ? ? ? # smh '	there is so much love in this picture, no racism.	love in the picture
2636	933182830909280256	these graphical glitches look pretty normal don 't they ?  # fallout	these graphical glitches don't look pretty normal.	graphical glitches
2637	908776606340173824	'st . louis cop jason stockley found not guilty in shooting , and ferguson 2.0 is brewing . idiots in t-shirts showing maximum class . '	idiots in t-shirts are showing minimum class with such profanity on it.	person wearing t-shirts with bad word written in it
2638	849791837074227200	thanks <user> after 14hrs delay , <num> concourses , <num> gates , <num> canceled flights & <num> phone calls , i still can 't make a <num> hr trip # goat 	the author is pissed at <user> that after 14hrs delay, <num> concourses, <num> gates, <num> canceled flights & <num> phone calls, she still can't make a <num> hr trip.	<user>'s bad service
2639	249860054871315732_6892692	Look at the super exciting view from my room!	the view isn't super exciting, it's dull.	view from the author's room
2640	855293491152265216	'excellent  just like # aap has cleaned up # delhi treasury , they aim to wipe it all # mcdelections2017'	it's awful that just like aap has cleaned up delhi treasury, they aim to wipe it all.	aap
2641	727888138375442432	'yes because i always send pictures to random strangers on twitter . # wtf . '	the author doesn't send pictures to random strangers on twitter.	person asking for author's picture
2642	909767351997915136	'# singaporegp <num> redbull driver verstappen took down both ferrari cars out of the race , nice one  <user>'	it's impossible that the singaporegp <num> redbull driver verstappen took down both ferrari cars out of the race.	verstappen taking down both ferrari cars off the race
2643	936680015760166912	'<user> <user> awesome service right there .  . <num> minutes into buying session . called into tfc sales and suggestion i got was to sit and wait for error to disappear on its own . seriously ?'	it's an awful service to suggest to sit and wait for error to disappear on its own.	<user>'s bad service
2644	721524447706877952	'thanks <user>  i wanted french fry soup tonight in the drive-thru . they were nice and soggy . '	the author is pissed at <user> for such french fry soup instead of french fries tonight in the drive-thru.	quality of <user>'s french fries
2645	866038417683042304	'thank you <user> for this important news update ! i can sleep easy tonight now # givemestrength '	this isn't an important news update, the author isn't interested in pippa middleton's wedding.	<user>'s unimportant news update
2646	913877633162731521	thanks <user> ! just cause you can fit it in , doesn 't mean i can get it out the tiny door # ruined # thankscanadapost 	the author is pissed at <user> for forcing the parcel in such tiny door, ruining it.	<user> for forcing the parcel in a tiny door
2647	864855251240800262	'thank you for protection my book from mirror sites ... i think this is #  3 or <num> since january # fixwattpad <user> '	the author is pissed at <user> for not protecting her book from mirror sites, this is #3 or 4 spam since january.	<user>'s protection from mirror sites
2648	878840689781424128	"'as we can see , the "" no fun "" beach is ... hoppin \' .  # kohsamet'"	"as we can see, the ""no fun"" beach isn't hoppin, it's empty."	empty beach
2649	1034208869993245353_50750089	You were gonna do it anyway!  #bitchyquotes #funny #bitchy #funnyquotes #sarcasm #sarcastic #drama	when you're upset, posting more to facebook doesn't eliminate any drama.	posting in facebook while upset
2650	931056706448216064	'wow twitter , thank you from hiding this very sensitive , scary picture from me , i mean , if i had of seen this while scrolling i might have had a heart attack ! # wtf  <user>'	the author is disappointed with twitter for not hiding such sensitive scary picture from her.	twitter not hiding scary picture
2651	895435799117811712	'this picture is the epitome of romance .  # weird # flowers # nerd # love # heart # lovers # wcw <user>'	this picture isn't the epitome of romance.	romance in the picture
2652	602440809362885799_194409482	I obviously have very small eyes.... #selfie #bettyboop #eyes	the author thinks her eyes are big.	size of author's eye
2653	1034718148034154022_1339583698	#zombiemode #nosleep #notcute#Repost @rebelcircusquotes_ã»ã»ã»It's really cute...especially in the morning. @rebelcircus #rebelcircus #meme #bitchyquotes #funny #bitchy #funnyquotes #sarcasm #sarcastic #morning #death	staying up all night and feeling like death in the morning is terrible and isn't cute.	author staying up all night
2654	835265589140561920	'yup , lorem ipsum on a published site is cool <user> nice job actually filling out all the info on the template xd '	lorem ipsum on a published site isn't cool, <user> should have actually filled out all the info on the template.	lorem ipsum on a published site
2655	835181139287552002	'18 mins between pre-boarding and flight departure . thank you for the delayed start of the holiday <user> # efficiency '	the author is pissed at <user> for 18 mins between pre-boarding and flight departure delaying the start of the holiday.	delay in flight departure
2656	852205181181861888	some scenes in anime aren 't awkward at all ...  # anime	some scenes like this in anime are awkward, this is a vulgar scene.	vulgar scene in the anime
2657	700702969277214721	you know what 's a great # socialmedia strategy ? paying people to engage with your posts . love it <user> 	it's a bad socialmedia strategy to pay people to engage with your posts.	paying people to engage with the post
2658	702813445452865536	'over <num> years and i still never get bored of the stunning view from my bedroom window .  emoji_138'	the author is bored of the unexciting view from his bedroom window.	view from author's bedroom window
2659	855020480692146176	'<user> <user> sure know how to make their customers feel good about themselves ... '	the customers won't feel good about themselves knowing they need to whiten their teeth in photos.	<user> for making customer feel bad about teeth
2660	874088779853647872	"'seems like bethesda is doing another "" stand in line simulator "" event . my favorite ! # bethesdae3  ΓÇô at los angeles center studios'"	the author hates to stand in the long line at bethesda.	long line at bethesda
2661	878780093816033281	'thank god , i hate it when my water is high in sodium !  # funny # noduh'	the author doesn't care if the water has sodium.	high sodium in the water
2662	690282226718642176	'thanks for the clarification tool tip . '	the author didn't need the clarification tool tip, it is self explanatory.	obvious clarification from tool tip
2663	815449704628555776	'oh no . pregnancy care centres are not religious at all .  # secular # atheist # fakeclinics'	this pregnancy care centre is very religious.	religious pregnancy care centre
2664	881921508423217152	no place i 'd rather be spending july 3rd than in a deep line at <user> . # lnk  emoji_1351	the author hates spending july 3rd in a deep line at <user>.	spending in a deep line at <user>
2665	909463398911320064	'<user> our power has been out for <num> hours in our neighborhood . just measured the temps in our fridge . <num> degrees . thanks . '	the author's pissed at <user> since their power has been out for <num> hours in their neighbourhood.	<user> for power outage
2666	854228198678294528	getting help and answers from <user> about where your refund 's gone is so easy . so easy !  # secondattempt # sameerror	the author is pissed that getting help and answers from <user> about where your refund's gone is so difficult.	<user>'s bad service
2667	923273905921544192	'# spacetolearn wouldnt give # mysabh teachers a chance to set the example for our scholars-makes sense <user> <user> '	spacetolearn wouldn't hinder teachers to set the example for the scholars.	person who is commenting on small number of seats
2668	872096790744629249	'<user> <user> useful gate # fail # ludicrous  emoji_549 emoji_549'	it's a useless gate since the boundary is open.	uselessness of the gate
2669	918487398555442450_530411142	And that's how Mrs. Cahill does valentines... 9:00 the night before our party. #sorrynotsorry #thankschexmix #thehungryteacher #teachersofinstagram #teachersfollowteachers	Mrs. Cahills way of valentine is pretty much embarrasing 	mrs cahills way of valentine
2670	932026136921628673	'definitely not my motivation . '	money is a common motivation for authors behind writing a story.	money being a motivation for writing
2671	920133410680688640	'<user> finally delivered my package today . ( 5 days late ) and in great condition ....  emoji_156'	the package is delivered in a bad condition.	<user>'s bad delivery
2672	693228941734096896	we 're here so early in the morning for the test . on a saturday morning . so yayy .  <user> emoji_814 emoji_814 emoji_814 emoji_818 emoji_818 emoji_821	the author is not excited to be there so early in the morning for the test on a saturday.	test on a Saturday morning
2673	884439721014730752	'<user> <user> <user> <user> i think this must me a breaking news for you guys ! !  # bengalclashes # peaceandlove # bengali'	this is a video game and can't be a breaking news for <user>.	clashes in bengal
2674	825919780708302848	'at least it is nice to see the unbias reporting & equal number of stories from the media on the <user> # travelban - - '	it is not nice to see the bias reporting & unequal number of stories from the media on the <user>.	media's bias reporting and unequal number of stories
2675	913121493470650370	'. <user> , my email told me to follow you , i have no idea who the other people are . '	the author doesn't know who is will cruitt, the other two are presidents of the united states.	popularity of the <user>
2676	871859616828751872	'wow , <user> . stellar shipping container size . thanks for all the packing as well . '	the shipping container size is too big and the packing isn't good.	size of the shipping container
2677	721672854966644737	'great advertising ! # toronto '	advertising black market isn't great.	advertising black market
2678	936855372521807873	'the awesome thing about removing frauds and fakes from <user> is you literally get to keep it as the top notification for the rest of the month .  <user> seriously , put the breaks on the beta fluff features and work on email verification for all new patrons .'	<user> should work on removing frauds and fakes instead of beta fluff features.	<user>'s verification of patrons
2679	702653750301700097	"'thank you <user> for packing my fe "" special edition "" with the kind of care its title demands '"	"the author is pissed at <user> for packing her fe ""special edition"" with such carelessness."	<user>'s bad packing
2680	888137334658482176	'oh really . what a surprise . i am shocked .  # thedivision <user> <user> <user> <user>'	the author isn't surprised or shocked that the division global events cashes sucks.	quality of division global events cashes
2681	926674894833807360	'incredible responsive design on <user> international web check-in  # uxui # letmebuildthisinstead # noesistech'	it's not a responsive design on <user> international web check-in.	bad design of <user>'s international web check-in
2682	859766915379728385	'that blazing fast lte <user> is offer is nuts . <user> is doing wonders . '	that lte <user> offer is very slow.	<user>'s slow lte
2683	631915215369969277_300674774	Coldness, snow and wind; great combo...	coldness, snow and wind; worst combo, one can easily get sick in such a weather.	cold weather
2684	851403786153275392	super excited for the new barbers opening in # pottersbar - what with all the others we already have soon there won 't be any queues ! 	the author isn't excited for the new barbers opening in potterbar since they already have other barbers.	lots of barber shops in pottersbar
2685	834553371570872321	there 's nothing quite like the pull of your first big catfish of the season # lunker  # rivercertified	it's a little catfish, not a big one.	size if catfish
2686	878773456590045184	couldn 't think of better way to class up the neighborhood than a <num> foot gorilla selling fireworks . thanks ames <user> 	a <num> foot gorilla selling fireworks doesn't class up the neighbourhood.	gorilla selling fireworks
2687	867850483251257344	'i have the coolest brother ever .  # butnotreally'	the author doesn't have the coolest brother ever.	author's brother
2688	894305799593377793	'oh , for sure . <user> totally planted that bed bug colony . # adr # anotherdirtyroom  emoji_156 emoji_4246 emoji_156'	the author doesn't think <user> planted that bed bug colony, it's real.	authencity of the video
2689	860257715263864832	strong leadership . what 's the other s word ? i forget . anyway , patently untrue as i 'm sure will be mentioned on # bbcqt 	it's not a strong leadership.	lady's leadership
2690	703583813453139968	nothing 's more fun than editing ! 	editing is not fun.	author's love for editing
2691	946501285167206401	i 'm glad this exists  # funny	the author's sad this exists.	post making fun of blake money
2692	888016316744867840	'# whatweloveaboutcamila is that she follows every fan on their birthday except me ! '	the author hates that camila follows every fan on their birthday except her.	camila for not following the author on her birthday
2693	897619859219116032	'history has taught us that communist and marxist have been very peaceful and innocent throughout the centuries . # antifa # cnn '	history has taught us that communist and marxist haven't been very peaceful and innocent throughout the centuries.	violence of communist and marxist
2694	931218695111704576	ohh my god . a deer and mouse ? holding hands ? i 'm so offended .  get over it people ! stop being so sensitive over everything . some people can 't even afford <user> does that offend you ? probably not bc it doesn 't effect your feelings # makeadifference # starbucks	the author isn't offended with a deer and mouse holding hands.	people being sensitive over everything
2695	867582194713116672	'how unusual . a track fault near newport '	it's very common, a track fault near newport	frequency of track fault near newport
2696	914532427397201920	<user> the new system seems efficient . # mcdonalds # selfcheckout  # futureisbright ΓÇô at mcdonald 's	<user>'s new system doesn't seem efficient.	efficiency of <user>'s new system
2697	695623570341367808	one of my favourite crisps ... bet you 'll never guess which bag is from the multipack ! ?  # sizematters emoji_400 emoji_193 emoji_15	it's clear that the bigger bag is from the multipack.	size of the crisps
2698	862389508200943617	<user> again , a tv feed running on your <user> channel is such garbage . i also can 't see the score , which is great . 	the author is pissed that a tv feed running on <user>'s channel is such garbage and that he also can't see the score.	tv feed on <user>'s channel
2699	857171973838917633	don 't you just love it when guys decide that first impressions matter ? ? don 't you just l ove guys who re a d ur bio ? ?  # yikes Γäó	the author hates when guys decide that first impression don't matter and send such distasteful messages, and that they don't read your bio.	person's distateful message
2700	911599387595468801	hey nbcgold , thanks for this . what happens when i press my log in button . rather watch this than the match that 's for sure . 	the author is pissed at nbcgold for having to watch this buffering than the match.	buffering in nbcgold
2701	925712335418871809	'oh great , sky lanterns are sold for all seasons and holidays now ! i just love picking up these ! <user>  # skytrash'	the author hates that sky lanterns are sold for all seasons and holidays now, it's inconvenient picking them up.	picking up sky lanterns trash
2702	1113955460245841011_10460984	JIMMY WON MOST SARCASTIC OF THE DAY YESTERDAY LOL #sarcastic #sarcasm #funny #toofunny #toothbrushes #toothbrushholder #toothbrush #toothbrushing	there are already 4 toothbrushes so jimmy don't need more of them.	number of toothbrushes
2703	846366767849115648	'ugh . being a vegan is soooooo hard .  <user> <user>'	the food looks delicious, being a vegan isn't so hard.	difficulty in being vegan
2704	868743477474897920	'for the record usually announcing when i arrive to my destination via photos but hey  whatever works for people  emoji_5292 emoji_131 emoji_1778'	people don't need to announce everything on facebook.	people who announce everything on facebook
2705	828375790886739970	"'"" society is broken , who should we blame ? should we blame the rich powerful people who caused it ? ! no ! let \'s blame the powerless "" '"	society is broken, it's rich powerful people to be blamed and not the poor powerless people.	people who blame the powerless for the society
2706	891020655893917696	i 'm loving the way cars are parked on gerald rd and blocking vision for cars and access to larger vehicles <user> . 	the author is hating the way cars are parked on gerald rd and blocking vision for cars and access to larger vehicles.	bad parking
2707	937915733828235265	"'"" roadblocks has never looked more daunting and most secure "" '"	this roadblock isn't daunting or secure.	unsecure roadblock
2708	915680036656750592	'thank god or <user> ΓÇÖ s new travel ban ! ! now there won ΓÇÖ t be any more terrorism ! ! '	<user>'s new travel ban won't stop the terrorism.	<user>'s new travel ban
2709	906922563716055041	# shirtoftheday ! ! ! let 's see if i can get mustard on it again this week  # pleasenomustardonmydinocoshirt ! ! !	the author doesn't want to get mustard on it again this week.	mustard on author's shirt
2710	705593268172562432	'best customer service ever ! <user>  <num> min on hold and no human . at all . ridiculous . # neveragain'	the author is pissed at <user> for such terrible customer service, even after 52 min on hold still there was no human at all.	<user>'s bad customer service
2711	859924154950324224	thank you <user> for the treats for today 's staff meeting ! as you can see , no one liked it at all .  # greedyowls	the author didn't like the food for today's staff meeting, given the food left in the plate.	taste of food for staff meeting
2712	893955599511298048	<user> two applications of ground clear in the past <num> months and i must say my driveway looks fabulous . doesn 't it  # unhappy	even after two applications of ground clear in the past <num> months, the author's driveway isn't clean.	cleanliness of author's driveway
2713	385544974_10242224	I love 5 hour car rides. .	the author hates 5 hour car rides since they are exhausting.	long hour car rides
2714	810938163766169600	'pointing the index finger up is a well known sign of islamic radicalization  one wonders who radicalized him ..  # cliche'	pointing the index finger up is a well known sign of islamic radicalization, and here we see trump being an islamic radical.	trump
2715	702121291747344384	'thank you <user> & # apple putting money above national security is the right thing to do .  # applevsfbi'	putting money above national security isn't the right thing to do.	apple for putting money above national security
2716	878387808506966017	'great view from the front yard  # crosstown # psl'	a bulldozer's not a great view from the front yard.	view of a bulldozer
2717	906334899191160832	'<user> ughhhhh . another raid medal . just what i always wanted .  # ratherhave800hp'	the author didn't want another raid medal.	frequency of author getting raid medal
2718	866716068353585153	'what a gorgeous day # rainyday # may # summer # weather '	it's not a gorgeous day, it's raining.	weather
2719	917347844368900096	'<user> way to go timmies ! thanks for copious amount of cream cheese evenly spread '	the author is pissed at <user> for the sparse amount of cream cheese unevenly spread.	<user>'s sparse amount of cream cheese
2720	434890239232539962_5568934	Playing in a lacrosse game with a broken toe was deff one of the smartest decisions I've ever made #brokentoe #killme #dead #icebucket 😭😭😭	it's not smart to play in a lacrosse game with a broken toe.	playing in a lacrosse game with broken toe
2721	912689599822155776	congrats with new freedom from personal responsibility ! ain 't # trump made america great as never before ! ? # maganb # hillary  # russia	freedom from personal responsibility is bad, can't blame russia for everything, trump hasn't made america great.	trump's presidency
2722	885179187111145473	'mom let my sisters try on her wedding dress . this is in no way suggesting anything to me  # grandbabies # sayyestothedress'	mom letting the author's sisters try on her wedding dress is suggesting grand babies to the author.	mom letting author's sisters try on her wedding dress
2723	684162257475997696	'omg ! it snowed ! i wonder if work will be closed tomorrow . '	the amount of snow isn't enough for the work to be closed tomorrow.	small amount of snow
2724	711797952440897536	of course they don 't need data . why will they need such things ? # mtg 	of course they would need data for managing the banned/restricted lists.	R&D for not wanting data
2725	690169534460878848	i 'm getting married on february 30th & you 're all invited ! wear heels . # minions  # marriage # walkitoff # yous â€¦	there is no february 30th, the author thinks she'll never get married.	author getting married on february 30th
2726	1044769592728292618_23263266	#joke#sarcasm#sarcastic#humour #laugh#wtf#funny#lol#wtf#lmao#hilarious#life#memes#quotes#smile#weekend#party#saturday#ftiday#laundry#kids#children#pregnant#marriage	sorting laundry on a saturday night isn't a glamorous lifestyle, it wouldn't make anyone jealous.	sorting laundry on Saturday night
2727	455863975801409560_5659	Really should've taken the scenic route. This view sucks. #pch #bestcoast #westcoast #pitted #sopitted	this is a beautiful view.	beautiful view
2728	718122421614579712	"'well im glad i switched to <user> from <user> with these "" great "" internet speeds .  # twitch # gaming'"	the author regrets switching from <user> to <user> for such low internet speeds.	<user>'s internet speed
2729	884095527213727745	'<user> great investment in . <user> !  # astoria'	it's not a great investment by <user> since the device isn't working.	<user>'s investment on a device not working
2730	834599245432827904	i love how fast my internet is - almost the 100mbps i 'm paying for . can 't wait to get my full price bill .  # useless <user>	the author hates that his internet is so slow even when he's paying for 100mbps.	slow internet speed
2731	857071531809165312	'thanks <user> and <user> <user> for providing clean water ! '	the author is pissed at <user> for providing such dirty water.	<user> providing dirty water
2732	855002193774215168	what child * doesn 't * know ponchielli ? aren 't italian opera composers a part of every elementary curriculum ?  # juliesgreenroom	children usually don't know ponchielli since italian opera composers aren't a part of every elementary curriculum.	children knowing ponchielli
2733	937566455016460289	i love being broke . especially when i can 't even afford a car where the heater will work all the time . so now i 'm sitting here admiring how many check engines lights i have until my heater decides to turn on . i feel great ! 	the author is sad and doesn't feel great being broke, he can't even afford a car where the heater will work all the time.	author being broke
2734	855466461296504832	'<user> finally found proof that the earth is flat '	this isn't a proof that the earth is flat, it's absurd.	photo showing earth is flat
2735	936366321297530880	'the false article about me is #  2 on the <user> website today ! woohoo ! do i get a trophy ? '	the author is disappointed with <user> since a false article about him is #2 on their website.	false article about <user> on website
2736	815409818022375424	'this is not eifel tower ... this is minaar-e-pakistan , lahore .  emoji_15 emoji_15 emoji_15'	this is not minaar-e-pakistan, this is eifel tower in france.	comparison between eifel tower and minaar-e-pakistan
2737	852808385883918336	'today is going to be awesome !  # nosleep # shesgoingdownbythehead emoji_619 emoji_806'	today isn't going to be awesome for the author since she didn't get enough sleep.	author not getting enough sleep
2738	890070555596083200	'oh thank god someone brought this trailer in  we were running dangerously low on coffee places on campus  # unimelb'	the author is sad that someone brought this trailer in when they already had enough coffee places on campus.	buying the trailer 
2739	858496696808075265	'nothing makes a delicious <user> salad like burnt chicken .  # geethanks'	the author is pissed at <user> for burnt chicken ruining the salad.	burnt chicken in the salad
2740	720009550053695489	'beautiful scottish spring  # spring # cold # scotland # edinburgh # seaside'	it's spring but the weather doesn't seem like spring in scotland.	weather
2741	849296746589171713	probably that 's an amazing soviet styled labour law class at <num> am on friday morning . # lovelowschool 	the author doesn't like to get up in the morning for a soviet styled labour law class at <num> am on friday morning.	getting up in the morning
2742	882964049176260609	'my luck just keeps getting better and better today  emoji_689'	the author's luck just keeps getting worst as he cut himself on this glass.	author cutting himself on a glass
2743	704127528936538112	'not bored studying for <num> exams tomorrow .  # help'	the author is bored studying for <num> exams tomorrow.	author's boredom of studying for exams
2744	1002069038288617419_597051806	#patience #finished #speak #sarcasm #sarcastic #wait #manners	one hates to be interrupted in the middle of one's sentence by someone else.	person who interupts others while speaking
2745	877305828818259968	'<user> as always , amazing service at hartsfield jackson atlanta airport ...  ΓÇô at hartsfield-jackson atlanta international airport ( atl )'	<user>'s internet speed at hartsfield jackson atlanta airport is slow.	<user>'s slow internet speed
2746	707371603156336640	'<user> bought another doll . $ well spent . # happywifehappylife '	the author is pissed at <user> for buying another doll, wasting $.	<user> for buying another doll
2747	937936497365233665	'learn parking from this lawyer . @ sector 37d # chandigarh - - # citizenreporter '	this lawyer doesn't know how to park a car.	lawyer's bad parking
2748	915627106809319424	'this is what you get for ┬ú 4k a year with <user> # chinup # customerserviceoftheyear  emoji_107'	the author is sad that this is the kind of bad service you get for 4k a year with <user>.	<user>'s bad service
2749	851479169611554821	wow .. these speeds ... so amazing ...  # skybroadband # sky it 's been <num> month like this and no resolution	the author is annoyed with such slow speeds and that it's been <num> month like this and no resolution.	broadbands slow speeds
2750	923814268872601600	'this # iphonex pre order is going really well ... '	this iphonex pre order isn't going well, they can't process the requests.	error in iphonex pre order
2751	823976335873753088	i must say . i 'm driving through california . as you can see , global warming is a real problem !  # globalwarming # tcot	looking at a lot of snow, the author doesn't think global warming is a real problem.	global warming being a problem
2752	932598106750889984	'mmmm the ΓÇÿ finest ΓÇÖ from <user> . the four small strips of beef worth every penny of the ┬ú 3.70 ! '	the author is disappointed with <user> since there's just four small strips of beef, not worth every penny of the 3.70.	number and size of strips of beef
2753	892898241993334784	'oh yeah right on boltsy so sick of hrc scamming us with their self-centred agenda to stop sexual assault in unis  # humanrightslaw'	hrc isn't scamming us with their agenda to stop sexual assault in unis.	hrc's agenda to stop sexual assault in unis
2754	845565592790798337	'good job <user> . '	bad job by <user> since there are so many complaints.	complaints against <user>
2755	862902619928506372	'i am guessing # netflix no longer lets you grab screens of movies . that & the new rating system is so awesome . '	it's a black screen, the author can't see the movie and hates the new rating system.	netflix's rating system
2756	810104332097156918_11987556	Moving day. Exactly 13 months after moving into this house. Just the husband, me, and a couple of hired hands. Can you feel my excitement?	the author isn't excited since she is moving just 13 months after moving into this house.	author's excitement for moving out of the house
2757	935088725377220608	'spent some time this afternoon messing around with bosca ceoil in an attempt to practice making music before ludum dare . making solid progress  # idontknowwhatimdoing # musicdev # gamedev # ludumdare # ld40 # boscaceoil'	the author isn't making solid progress making music.	author not knowing what he's doing
2758	851307320164270085	'so much monday motivation ... gives blues till the bone :d # pr_roast # prworld # prjokes # prlove  # mondyblues # awfulmonday'	this isn't a monday motivation.	schedule of Monday in pr's life
2759	869497698491265024	'i love learning about splash hazards and pipe couplings  # revision # insanity'	the author hates learning about splash hazards and pipe couplings.	author's hate for learning about splash hazards and couplings
2760	705948003337539588	'gee . <user> wars force awakens is the #  1 seller on <user> . what a shock ! ! '	it's not surprising that star wars force awakens is the #1 seller on <user>.	surprise that star wars awakens being the #1 seller
2761	706842780774039552	'thanks <user> for being so generous with your avo . '	the author is pissed at <user> for giving so less avo.	less amount of avo
